Symbol,Title,Date,Link,Source,Comments
None,Singapore stocks edge up cautiously on Friday,12/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-edge-up-cautiously-on-friday,The Business Times,
None,Singapore stocks edge up cautiously on Friday; STI up 0.3%,11/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-edge-up-cautiously-on-friday-sti-up-03,The Business Times,
None,Singapore stocks open lower on Friday; STI down 0.3%,11/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-open-lower-on-friday-sti-down-03,The Business Times,
None,Singapore stocks extend gains as Asian markets rebound,11/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-extend-gains-as-asian-markets-rebound,The Business Times,
None,Singapore stocks extend gains on Thursday as Asia rebounds; STI up 1.4%,10/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-extend-gains-on-thursday-as-asia-rebounds-sti-up-14,The Business Times,
None,Singapore stocks open higher on Thursday; STI up 1.3%,10/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-open-higher-on-thursday-sti-up-13,The Business Times,
None,Singapore stocks rebound amid losses on Asian bourses; STI up 1.5%,10/03/2022,https://www.businesstimes.com.sg/companies-markets/singapore-stocks-rebound-amid-losses-on-asian-bourses-sti-up-15,The Business Times,
None,Singapore stocks rebound on Wednesday; STI up 1.5%,09/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-rebound-on-wednesday-sti-up-15,The Business Times,
None,Singapore stocks extend losses at Wednesday's open; STI down 0.3%,09/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-extend-losses-at-wednesdays-open-sti-down-03,The Business Times,
None,Singapore stocks extend losses as oil prices spike; STI down another 1.2%,09/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-extend-losses-as-oil-prices-spike-sti-down-another-12,The Business Times,
None,Singapore stocks extend losses on Tuesday; STI down another 1.2%,08/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-extend-losses-on-tuesday-sti-down-another-12,The Business Times,
None,Singapore shares fall at Tuesday's open extending global losses; STI down 0.4%,08/03/2022,https://www.businesstimes.com.sg/stocks/singapore-shares-fall-at-tuesdays-open-extending-global-losses-sti-down-04,The Business Times,
None,Singapore stocks slide on Monday as oil prices surge; STI down 1.2%,08/03/2022,https://www.businesstimes.com.sg/companies-markets/singapore-stocks-slide-on-monday-as-oil-prices-surge-sti-down-12-0,The Business Times,
None,Singapore stocks slide on Monday as oil prices surge; STI down 1.2%,07/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-slide-on-monday-as-oil-prices-surge-sti-down-12,The Business Times,
None,Singapore stocks fall at Monday's open; STI down 0.3%,07/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-at-mondays-open-sti-down-03-0,The Business Times,
None,Straits Times Index constituents unchanged after March review,04/03/2022,https://www.businesstimes.com.sg/stocks/straits-times-index-constituents-unchanged-after-march-review,The Business Times,
None,Singapore equities fall at Friday's open; STI drops 0.5%,04/03/2022,https://www.businesstimes.com.sg/stocks/singapore-equities-fall-at-fridays-open-sti-drops-05,The Business Times,
None,Singapore stocks climb at Thursday's open; STI up 0.9%,03/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-climb-at-thursdays-open-sti-up-09,The Business Times,
None,Singapore stocks fall at Wednesday's open; STI drops 0.4%,02/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-at-wednesdays-open-sti-drops-04,The Business Times,
None,Singapore's Feb market cap up 0.3% from Jan,01/03/2022,https://www.businesstimes.com.sg/companies-markets/singapores-feb-market-cap-up-03-from-jan,The Business Times,
None,Singapore stocks rise at Tuesday's open; STI climbs 0.9%,01/03/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-rise-at-tuesdays-open-sti-climbs-09,The Business Times,
None,Singapore shares fall 1.6% due to further Western sanctions on Russia,01/03/2022,https://www.businesstimes.com.sg/stocks/singapore-shares-fall-16-due-to-further-western-sanctions-on-russia,The Business Times,
None,"Strategists express optimism for equities in 2022, are bullish on Singapore market",28/02/2022,https://www.businesstimes.com.sg/companies-markets/strategists-express-optimism-for-equities-in-2022-are-bullish-on-singapore-market,The Business Times,
None,Singapore shares fall 1.6 per cent due to further Western sanctions on Russia,28/02/2022,https://www.businesstimes.com.sg/stocks/singapore-shares-fall-16-per-cent-due-to-further-western-sanctions-on-russia,The Business Times,
None,Singapore stocks fall at Monday's open; STI down 0.2%,28/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-at-mondays-open-sti-down-02-0,The Business Times,
None,Singapore shares rebound on Friday; STI up 0.6%,26/02/2022,https://www.businesstimes.com.sg/stocks/singapore-shares-rebound-on-friday-sti-up-06-0,The Business Times,
None,Singapore shares rebound on Friday; STI up 0.6%,25/02/2022,https://www.businesstimes.com.sg/stocks/singapore-shares-rebound-on-friday-sti-up-06,The Business Times,
None,Singapore stocks climb at Friday's open; STI up 1.6%,25/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-climb-at-fridays-open-sti-up-16,The Business Times,
None,Regional markets fall as Russia orders strikes on Ukraine,24/02/2022,https://www.businesstimes.com.sg/stocks/regional-markets-fall-as-russia-orders-strikes-on-ukraine,The Business Times,
None,STI tumbles 3.5% as Russia invades Ukraine on Thursday,24/02/2022,https://www.businesstimes.com.sg/stocks/sti-tumbles-35-as-russia-invades-ukraine-on-thursday,The Business Times,
None,Singapore stocks fall at Thursday's open; STI down 1%,24/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-at-thursdays-open-sti-down-1,The Business Times,
None,"Singapore stocks fall on Wednesday, bucking regional trend as OCBC drags STI down",23/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-on-wednesday-bucking-regional-trend-as-ocbc-drags-sti-down,The Business Times,
None,Singapore stocks fall at Wednesday's open; STI down 0.4%,23/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-at-wednesdays-open-sti-down-04,The Business Times,
None,Singapore stocks hit 1-week low on Ukraine developments; STI down 1%,22/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-hit-1-week-low-on-ukraine-developments-sti-down-11,The Business Times,
None,Singapore stocks open lower on Tuesday; STI down 0.7%,22/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-opened-lower-on-tuesday-sti-down-07,The Business Times,
None,Singapore stocks rise on first trading day after Budget 2022; STI up 0.2%,21/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-rise-on-first-trading-day-after-budget-2022-sti-up-02,The Business Times,
None,Singapore stocks fall at Monday's open; STI down 0.2%,21/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-at-mondays-open-sti-down-02,The Business Times,
None,Singapore stocks fall on Friday amid mixed trading in Asia; STI down 0.4%,18/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-on-friday-amid-mixed-trading-in-asia-sti-down-04,The Business Times,
None,Singapore stocks fall at Friday's open; STI down 0.2%,18/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-fall-at-fridays-open-sti-down-02-0,The Business Times,
None,"STI gains 0.1 per cent on Thursday amid economic growth, simpler Covid measures",17/02/2022,https://www.businesstimes.com.sg/stocks/sti-gains-01-per-cent-on-thursday-amid-economic-growth-simpler-covid-measures,The Business Times,
None,Singapore stocks climb at Thursday's open following 7.6% GDP growth; STI up 0.4%,17/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-climb-at-thursdays-open-following-76-gdp-growth-sti-up-04,The Business Times,
None,"STI outperforming in 2022 YTD, but may run into headwinds ",17/02/2022,https://www.businesstimes.com.sg/companies-markets/sti-outperforming-in-2022-ytd-but-may-run-into-headwinds,The Business Times,
None,Singapore stocks climb on Wednesday as Asia markets rebound; STI up 0.5%,16/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-climb-on-wednesday-as-asia-markets-rebound-sti-up-05,The Business Times,
None,Singapore stocks rise at Wednesday's open; STI up 0.1%,16/02/2022,https://www.businesstimes.com.sg/stocks/singapore-stocks-rise-at-wednesdays-open-sti-up-01-0,The Business Times,
None,Singapore shares close flat on Tuesday amid mixed regional markets,15/02/2022,https://www.businesstimes.com.sg/stocks/singapore-shares-close-flat-on-tuesday-amid-mixed-regional-markets,The Business Times,
