Symbol,Description,New Symbols
1A0,Katrina Group Ltd.,1A0.SI
1A1,Wong Fong Industries Limited,1A1.SI
1A4,Agv Group Limited,1A4.SI
1AZ,Audience,1AZ.SI
1B0,Mm2 Asia Ltd.,1B0.SI
1B1,Hc Surgical Specialistslimited,1B1.SI
1B6,Ocean Sky International Ltd,1B6.SI
1C0,Cedar Strategic Holdings Ltd,1C0.SI
1C5,Pacific Star Development Ltd,1C5.SI
1D0,Kimly Limited,1D0.SI
1D1,Unusual Limited,1D1.SI
1D3,Lifebrandz Ltd.,1D3.SI
1D4,Aoxin Q & M Dental Grp Limited,1D4.SI
1D5,Capital World Limited.,1D5.SI
1D8,Singapore O&g Ltd.,1D8.SI
1E3,Sanli Environmental Limited,1E3.SI
1F0,Shopper360 Limited,1F0.SI
1F1,Y Ventures Group Ltd.,1F1.SI
1F2,Union Gas Holdings Limited,1F2.SI
1F3,Aspen (group) Holdings Limited,1F3.SI
1G1,Re&s Holdings Limited,1G1.SI
1G6,No Signboard Holdings Ltd.,1G6.SI
1H2,Olive Tree Estates Limited,1H2.SI
1H3,Clearbridge Health Limited,1H3.SI
1H4,Memories Group Limited,1H4.SI
1H8,Ly Corporation Limited,1H8.SI
1J0,Slb Development Ltd.,1J0.SI
1J3,Asian Healthcare Specialists,1J3.SI
1J4,Jep Holdings Ltd.,1J4.SI
1J5,Hyphens Pharma Intl Limited,1J5.SI
1J7,Jawala Inc.,1J7.SI
1R6,Avi-tech Hldg,1R6.SI
1V3,Mooreast,1V3.SI
1Y1,Vikingoffshore,1Y1.SI
40B,Smj International Holdingsltd.,40B.SI
40D,Starburst Holdings Limited,40D.SI
40E,Spackman Entertainment Grp Ltd,40E.SI
40F,Alliance Mineral Assetslimited,40F.SI
40N,Versalink Holdings Limited,40N.SI
40T,Isec Healthcare Ltd.,40T.SI
40U,Ms Holdings Limited,40U.SI
40V,Singapore Edevelopment Ltd,40V.SI
40W,Zico Holdings Inc.,40W.SI
41B,Huationg Global Limited,41B.SI
41F,Gss Energy Limited,41F.SI
41H,Blackgold Natural Resourcesltd,41H.SI
41O,Lhn Limited,41O.SI
41T,Gccp Resources Limited,41T.SI
42C,Ix Biopharma Ltd.,42C.SI
42D,Nauticawt Limited,42D.SI
42E,Choo Chiang Holdings Ltd.,42E.SI
42F,Cmc Infocomm Limited,42F.SI
42L,Tlv Holdings Limited,42L.SI
42N,Ips Securex Holdings Limited,42N.SI
42R,Jumbo Group Limited,42R.SI
42S,Astaka Holdings Limited,42S.SI
42T,The Trendlines Group Ltd.,42T.SI
42U,Axcelasia Inc.,42U.SI
42W,China Star Food Group Limited,42W.SI
42Z,Eindec Corporation Limited,42Z.SI
43A,Gs Holdings Limited,43A.SI
43B,Secura Group Limited,43B.SI
43E,Anchor Resources Limited,43E.SI
43F,Acromec Limited,43F.SI
43P,United Global Limited,43P.SI
43Q,Advancer Global Limited,43Q.SI
49B,Amos Group,49B.SI
500,Tai Sin Electric Limited,500.SI
502,Hsr Global Limited,502.SI
504,Klw Holdings Ltd,504.SI
505,Asiamedic Limited,505.SI
508,Fuji Offset Plates Mfg Ltd,508.SI
510,Hiap Seng Engineering Ltd,510.SI
528,Second Chance Properties Ltd,528.SI
532,DISA,532.SI
533,Abr Holdings Limited,533.SI
540,Tung Lok Restaurants 2000 Ltd,540.SI
541,Craft Print International Ltd,541.SI
543,Noel Gifts International Ltd,543.SI
544,Cse Global Ltd,544.SI
546,Medtecs International Corp Ltd,546.SI
554,King Wan Corporation Limited,554.SI
558,Ums Holdings Limited,558.SI
564,Spindex Industries Limited,564.SI
566,See Hup Seng Limited,566.SI
567,Colex Holdings Limited,567.SI
569,Vicplas International Ltd,569.SI
570,Transit-mixed Concrete Ltd,570.SI
573,Challenger Technologies Ltd,573.SI
575,Asti Holdings Limited,575.SI
578,Ks Energy Limited,578.SI
579,Oceanus Group Limited,579.SI
580,Santak Holdings Limited,580.SI
581,Ite Electric Co Ltd,581.SI
583,Progen Holdings Ltd,583.SI
584,Oakwell Engineering Limited,584.SI
585,Asian Micro Holdings Ltd,585.SI
586,Tmc Education Corporation Ltd,586.SI
594,Loyz Energy Limited,594.SI
595,Van Der Horst Energy Limited,595.SI
596,Thai Village Holdings Ltd,596.SI
5AB,Trek 2000 Int'l Ltd,5AB.SI
5AE,Pollux Properties Ltd.,5AE.SI
5AI,Sunlight Group Hldg Ltd,5AI.SI
5AL,Annica Holdings Limited,5AL.SI
5AM,Asiatravel.com Holdings Ltd,5AM.SI
5AU,Ap Oil International Limited,5AU.SI
5BI,Carriernet Global Ltd,5BI.SI
5BS,Pne Micron Holdings Ltd,5BS.SI
5CF,Okp Holdings Limited,5CF.SI
5CP,Silverlake Axis Ltd,5CP.SI
5CR,Asiatic Group (holdings) Ltd,5CR.SI
5CT,Ecowise Holdings Limited,5CT.SI
5DD,Micro-mechanics (holdings) Ltd,5DD.SI
5DM,Ying Li Intl Real Estate Ltd,5DM.SI
5DN,Ezra Holdings Limited,5DN.SI
