,Symbol,Title,Date,Link,Source,Comments
0,None (General News),Singapore contributes US$15m to Coalition for Epidemic Preparedness Innovations,09/03/2022,https://www.businesstimes.com.sg/government-economy/singapore-contributes-us15m-to-coalition-for-epidemic-preparedness-innovations,The Business Times,Featured on SGInvestors
1,None (General News),Crypto exchanges staying in Russia will face global backlash: Ukraine minister,09/03/2022,https://www.channelnewsasia.com/business/crypto-exchanges-staying-russia-will-face-global-backlash-ukraine-minister-2549531,CNA,Featured on SGInvestors
2,None (General News),Primordial octopus was up in arms - 10 instead of eight,09/03/2022,https://www.channelnewsasia.com/world/primordial-octopus-was-arms-10-instead-eight-2549456,CNA,Featured on SGInvestors
3,None (General News),Oil surges as US and Britain cut off Russian crude ,08/03/2022,https://www.channelnewsasia.com/business/oil-surges-us-and-britain-cut-russian-crude-2549366,CNA,Featured on SGInvestors
4,None (General News),Oil gains on expectations of US and British ban on Russian crude ,08/03/2022,https://www.channelnewsasia.com/business/oil-gains-expectations-us-and-british-ban-russian-crude-2549366,CNA,Featured on SGInvestors
5,None (General News),Swiber enters MOU to sell its Jurong headquarters for S$30.8m,08/03/2022,https://www.businesstimes.com.sg/real-estate/swiber-enters-mou-to-sell-its-jurong-headquarters-for-s308m,The Business Times,Featured on SGInvestors
6,None (General News),Startup Pony.ai agrees to automated driving software recall,08/03/2022,https://www.channelnewsasia.com/business/startup-ponyai-agrees-automated-driving-software-recall-2549331,CNA,Featured on SGInvestors
7,None (General News),Startup Pony.ai agrees to automated driving system software recall,08/03/2022,https://www.channelnewsasia.com/business/startup-ponyai-agrees-automated-driving-system-software-recall-2549331,CNA,Featured on SGInvestors
8,None (General News),US and UK move to ban on import of Russian oil,08/03/2022,https://www.theedgesingapore.com/news/russia-ukraine-crisis/us-and-uk-move-ban-import-russian-oil,The Edge,Featured on SGInvestors
9,None (General News),"Volkswagen reaches 4G patent deal that could resolve Acer dispute, sources say",08/03/2022,https://www.channelnewsasia.com/business/volkswagen-reaches-4g-patent-deal-could-resolve-acer-dispute-sources-say-2549296,CNA,Featured on SGInvestors
10,None (General News),Aramco CEO says Ukraine invasion has accelerated global energy crisis,08/03/2022,https://www.channelnewsasia.com/business/aramco-ceo-says-ukraine-invasion-has-accelerated-global-energy-crisis-2549301,CNA,Featured on SGInvestors
11,None (General News),Turnaround in sight for SembMarine: analysts,08/03/2022,https://www.theedgesingapore.com/capital/brokers-calls/turnaround-sight-sembmarine-analysts,The Edge,Featured on SGInvestors
12,None (General News),Oil markets fret over supply shock as some buyers shun Russia,08/03/2022,https://www.channelnewsasia.com/business/oil-markets-fret-over-supply-shock-some-buyers-shun-russia-2549226,CNA,Featured on SGInvestors
13,None (General News),China's economic stability can support global growth amid Ukraine crisis- Citigroup,08/03/2022,https://www.channelnewsasia.com/business/chinas-economic-stability-can-support-global-growth-amid-ukraine-crisis-citigroup-2549196,CNA,Featured on SGInvestors
14,None (General News),India Oil to add 9 more oil tanks at Mundra port,08/03/2022,https://www.channelnewsasia.com/business/india-oil-add-9-more-oil-tanks-mundra-port-2549111,CNA,Featured on SGInvestors
15,None (General News),Indian oil companies to revise fuel prices - minister,08/03/2022,https://www.channelnewsasia.com/business/indian-oil-companies-revise-fuel-prices-minister-2549116,CNA,Featured on SGInvestors
16,None (General News),Rivian is sued by shareholder after rolling back electric vehicle price hikes,08/03/2022,https://www.channelnewsasia.com/business/rivian-sued-shareholder-after-rolling-back-electric-vehicle-price-hikes-2549106,CNA,Featured on SGInvestors
17,None (General News),Ukraine war to sully clothes sales from Levi to Ralph Lauren,08/03/2022,https://www.channelnewsasia.com/business/ukraine-war-sully-clothes-sales-levi-ralph-lauren-2549121,CNA,Featured on SGInvestors
18,None (General News),LME halts nickel trading after unprecedented 250% spike,08/03/2022,https://www.theedgesingapore.com/news/commodities/lme-halts-nickel-trading-after-unprecedented-250-spike,The Edge,Featured on SGInvestors
19,None (General News),"LanzaTech to go public in SPAC deal, valued at $2.2 billion",08/03/2022,https://www.channelnewsasia.com/business/lanzatech-go-public-spac-deal-valued-22-billion-2549041,CNA,Featured on SGInvestors
20,None (General News),Shanghai exchange will take further measures amid overseas nickel price volatility ,08/03/2022,https://www.channelnewsasia.com/business/shanghai-exchange-will-take-further-measures-amid-overseas-nickel-price-volatility-2548976,CNA,Featured on SGInvestors
21,None (General News),Japanese firms say tanker pilot shows coal to hydrogen plan feasible,08/03/2022,https://www.channelnewsasia.com/business/japanese-firms-say-tanker-pilot-shows-coal-hydrogen-plan-feasible-2548966,CNA,Featured on SGInvestors
22,None (General News),China's Tsingshan fires nickel rally as it cuts costly exposure-sources,08/03/2022,https://www.channelnewsasia.com/business/chinas-tsingshan-fires-nickel-rally-it-cuts-costly-exposure-sources-2548956,CNA,Featured on SGInvestors
23,None (General News),GM gears up to launch new premium import business in China,08/03/2022,https://www.channelnewsasia.com/business/gm-gears-launch-new-premium-import-business-china-2548951,CNA,Featured on SGInvestors
24,None (General News),"GM gears up to launch 'halo', a new premium import business in China",08/03/2022,https://www.channelnewsasia.com/business/gm-gears-launch-halo-new-premium-import-business-china-2548951,CNA,Featured on SGInvestors
25,None (General News),Air taxi startup Volocopter hires ex-Airbus defence chief as next CEO,08/03/2022,https://www.channelnewsasia.com/business/air-taxi-startup-volocopter-hires-ex-airbus-defence-chief-next-ceo-2548886,CNA,Featured on SGInvestors
26,None (General News),Volkswagen to stop taking orders for some hybrid models,08/03/2022,https://www.channelnewsasia.com/business/volkswagen-stop-taking-orders-some-hybrid-models-2548831,CNA,Featured on SGInvestors
27,None (General News),Volkswagen stops orders for some plug-in hybrids amid supply crunch,08/03/2022,https://www.channelnewsasia.com/business/volkswagen-stops-orders-some-plug-hybrids-amid-supply-crunch-2548831,CNA,Featured on SGInvestors
28,None (General News),EIP buyback assistance will 'level the playing field': analysts,08/03/2022,https://www.businesstimes.com.sg/real-estate/eip-buyback-assistance-will-level-the-playing-field-analysts,The Business Times,Featured on SGInvestors
29,None (General News),Thailand approves relaxed tax rules for digital assets,08/03/2022,https://www.channelnewsasia.com/business/thailand-approves-relaxed-tax-rules-digital-assets-2548761,CNA,Featured on SGInvestors
30,None (General News),"Malaysia's borders to reopen on April 1, no quarantine for fully vaccinated travellers",08/03/2022,https://www.businesstimes.com.sg/asean-business/malaysias-borders-to-reopen-on-april-1-no-quarantine-for-fully-vaccinated-travellers,The Business Times,Featured on SGInvestors
31,None (General News),India expects private coal mines to produce at least 350 million tonnes by 2030,08/03/2022,https://www.channelnewsasia.com/business/india-expects-private-coal-mines-produce-least-350-million-tonnes-2030-2548766,CNA,Featured on SGInvestors
32,None (General News),Pakistan central bank keeps benchmark interest rate unchanged at 9.75per cent,08/03/2022,https://www.channelnewsasia.com/business/pakistan-central-bank-keeps-benchmark-interest-rate-unchanged-975per-cent-2548771,CNA,Featured on SGInvestors
33,None (General News),China cenbank to pay over 1 trln yuan in profit to govt this year,08/03/2022,https://www.channelnewsasia.com/business/china-cenbank-pay-over-1-trln-yuan-profit-govt-year-2548741,CNA,Featured on SGInvestors
34,None (General News),"Bukit Batok EC plot garners 9 bids, Dairy Farm Walk private housing plot gets 7 bids",08/03/2022,https://www.businesstimes.com.sg/real-estate/bukit-batok-ec-plot-garners-9-bids-dairy-farm-walk-private-housing-plot-gets-7-bids,The Business Times,Featured on SGInvestors
35,None (General News),Google to buy cybersecurity firm Mandiant for $5.4 billion,08/03/2022,https://www.channelnewsasia.com/business/google-buy-cybersecurity-firm-mandiant-54-billion-2548661,CNA,Featured on SGInvestors
36,None (General News),"China's household leverage ratio hit 72.2per cent in 2021, central bank says",08/03/2022,https://www.channelnewsasia.com/business/chinas-household-leverage-ratio-hit-722per-cent-2021-central-bank-says-2548646,CNA,Featured on SGInvestors
37,None (General News),Shell to stop buying Russian oil and gas,08/03/2022,https://www.theedgesingapore.com/news/russia-ukraine-crisis/shell-stop-buying-russian-oil-and-gas,The Edge,Featured on SGInvestors
38,None (General News),Enviro-Hub appoints former MP Teo Ho Pin as independent director,08/03/2022,https://www.businesstimes.com.sg/companies-markets/enviro-hub-appoints-former-mp-teo-ho-pin-as-independent-director,The Business Times,Featured on SGInvestors
